Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
df6473cf-a70b-3401-b1ac-8d213ab31d86,CALLEN LORDE COMM HEALTH CENTER,230 WEST 17TH STREET,NEW YORK,NY,100115325,42.130417,-76.83194599565286,2122717206,0.0,170
1a889af5-b516-3d84-961c-0b7d679b238c,NORTHERN URGENT MEDICAL CARE PLLC,16418 NORTHERN BLVD,LONG ISLAND CITY,NY,111015967,40.7622052,-73.8038213,7189395900,0.0,49
e9cb9031-ed8d-33cb-acbf-bc6c807bb0eb,QUEEN OF PEACE RESIDENCE,110-30 221ST STREET,QUEENS VILLAGE,NY,114292531,40.7296847,-73.7421371,7184641800,0.0,20
7f2262e8-6fb3-39a1-bba6-53cd730d0771,SARATOGA HOSPITAL,211 CHURCH ST,SARATOGA SPRINGS,NY,128661076,43.086606950000004,-73.79895377271055,5188865080,0.0,69
45590712-1963-39bd-bc0e-6be97de853f0,SPORRI NUTRITION & WELLNESS LLC,40 W 135TH ST APT 1C,NEW YORK,NY,100372504,40.7127281,-74.0060152,5164745748,0.0,59
49bf35b6-0433-34ce-a259-1a458d6aa94a,CARTHAGE AREA HOSPITAL INC,32787 US ROUTE 11,PHILADELPHIA,NY,13673,44.154622,-75.708847,3156420216,0.0,31
6f653dc7-63ed-3275-8e60-467baa3df431,VILLAGECARE HOME CARE  (CLOSED),154 CHRISTOPHER STREET  2ND FLOOR,NEW YORK,NY,100142840,40.732538,-74.008771,2124024501,0.0,72
b536eca3-7efe-30f5-84fe-1da56328d66a,SUN MEDICAL CARE PC,463 SARATOGA RD,SCOTIA,NY,123025200,42.8264652,-73.9642915,5183992233,0.0,53
af0b830c-f3ce-3de5-b746-e9b22599be06,FAMILY OPTOMETRY CARE PC,385 E 149TH ST,NEW YORK,NY,100336102,40.81633291666667,-73.91830229166666,7185340689,0.0,66
5fee4048-c52d-3152-9afc-948a7ad175e9,GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,59 HETCHELTOWN ROAD,SCOTIA,NY,123025506,42.8264652,-73.9642915,5183843600,0.0,11
